close,high,date,low,open,volume_from,volume_to,symbol,btc_price
0.04735,0.04852,2017-06-08,0.0458,0.04709,2729636379.64,129248282.58,DOGE,39650
0.047,0.04977,2017-06-09,0.04582,0.04735,3473039755.93,163232868.53,DOGE,39599
0.04422,0.04824,2017-06-10,0.04382,0.047,3017659308.05,133440894.6,DOGE,40758
0.04992,0.05328,2017-06-11,0.04447,0.04422,4224867552.4,210905388.22,DOGE,41999
0.04505,0.0462,2017-06-12,0.04351,0.04992,2348111237.37,105782411.24,DOGE,43499
0.04714,0.04912,2017-06-13,0.04595,0.04505,2244117120.44,105787681.06,DOGE,40500
0.04315,0.04501,2017-06-14,0.04278,0.04714,1828445538.9,78897425,DOGE,40250
0.04106,0.04176,2017-06-15,0.03964,0.04315,1668144791.47,68494025.14,DOGE,37698
0.04372,0.0448,2017-06-16,0.04122,0.04106,2008533316.68,87813076.61,DOGE,37500
0.04618,0.04693,2017-06-17,0.04466,0.04372,1934363523.99,89328907.54,DOGE,37997
0.04401,0.04511,2017-06-18,0.04328,0.04618,1193434807.15,52523065.86,DOGE,37950
0.04312,0.04422,2017-06-19,0.04312,0.04401,1454936401.85,62736857.65,DOGE,37310
0.04454,0.04569,2017-06-20,0.04339,0.04312,1693001117.96,75406269.79,DOGE,38400
0.04178,0.04366,2017-06-21,0.04027,0.04454,1454996376.93,60789748.63,DOGE,39245
0.04211,0.04287,2017-06-22,0.04099,0.04178,1004592673.59,42303397.48,DOGE,37948
0.04235,0.0431,2017-06-23,0.04121,0.04211,1016869995.35,43064444.3,DOGE,37999
0.04093,0.04166,2017-06-24,0.04019,0.04235,770422482.55,31533392.21,DOGE,37999
0.03769,0.04236,2017-06-25,0.02262,0.04093,3661709464.78,138009829.73,DOGE,37300
0.03604,0.03776,2017-06-26,0.03192,0.03769,3157964616.42,113813044.78,DOGE,36890
0.03621,0.03798,2017-06-27,0.02556,0.03604,2890564530.13,104667341.64,DOGE,36240
0.03895,0.03931,2017-06-28,0.03567,0.03621,1190305580.2,46362402.35,DOGE,36995
0.03653,0.03832,2017-06-29,0.03545,0.03895,1132094318.44,41355405.45,DOGE,36699
0.03467,0.03537,2017-06-30,0.03467,0.03653,788516338.97,27337861.47,DOGE,36073
0.03392,0.03607,2017-07-01,0.03214,0.03467,1105061465.27,37483684.9,DOGE,35999
0.03348,0.03453,2017-07-02,0.03207,0.03392,1140253692.77,38175693.63,DOGE,36590
0.03548,0.0362,2017-07-03,0.03369,0.03348,1340199079.08,47550263.33,DOGE,35994
0.03492,0.03601,2017-07-04,0.03456,0.03548,854566907.08,29841476.4,DOGE,36749
0.03749,0.03822,2017-07-05,0.03422,0.03492,2009924095.81,75352054.35,DOGE,37604.42
0.03656,0.0391,2017-07-06,0.0362,0.03749,1373845996.6,50227809.64,DOGE,36550
0.03405,0.03656,2017-07-07,0.03369,0.03656,1351507996.47,46018847.28,DOGE,36330
0.03379,0.03488,2017-07-08,0.03124,0.03405,1308833120.91,44225471.16,DOGE,36400
0.03294,0.03475,2017-07-09,0.03258,0.03379,684337281.73,22542070.06,DOGE,36350
0.02806,0.03222,2017-07-10,0.02563,0.03294,2014804773.22,56535421.94,DOGE,36299
0.02531,0.02873,2017-07-11,0.02462,0.02806,2827816657.07,71572039.59,DOGE,35000
0.02736,0.0277,2017-07-12,0.02462,0.02531,2460094762.87,67308192.71,DOGE,34350
