close,high,date,low,open,volume_from,volume_to,symbol,btc_price
8105.78,8157.28,2018-02-10,7985.24,7949.69,89369.12,724406425.51,DASH,118706.83
7328.59,7560.62,2018-02-11,7230.47,8105.78,67972.56,498143023.49,DASH,110419.98
7599.81,7906.33,2018-02-12,7576.9,7329.62,57305.12,435508024.03,DASH,109083.98
7369.68,7469.7,2018-02-13,7311.15,7597.63,58514.12,431230339.88,DASH,109990.98
8178.95,8464.81,2018-02-14,7899.95,7369.68,96119.54,786156911.68,DASH,114861.93
8484.41,8876.58,2018-02-15,8402.3,8178.95,79847.13,677455788.24,DASH,124898.93
8408.54,8731.24,2018-02-16,8317.4,8481.22,66735.68,561149634.71,DASH,123699.96
9066.72,9370.21,2018-02-17,8988.14,8408.54,70897.55,642808234.54,DASH,135826.97
8609.45,8799.4,2018-02-18,8528.23,9067.32,53354.81,459355568.95,DASH,137999.96
8713.95,8902.89,2018-02-19,8696.53,8609.45,51655.74,450125535.57,DASH,134892.99
8470,9111.2,2018-02-20,8446.2,8713.95,91771.96,777308501.2,DASH,144994.93
7988.23,8252.18,2018-02-21,7677.33,8470,89988.81,718851311.71,DASH,141799.9
7617.77,7627.34,2018-02-22,7174.03,7990.77,73708.35,561493257.38,DASH,136348.96
7508.89,7759.59,2018-02-23,7461.43,7617.77,55670.55,418024036.19,DASH,126699.97
7173.75,7273.85,2018-02-24,7056,7510.04,58358.51,418649361.11,DASH,126629.94
7181.66,7241.27,2018-02-25,7101,7177.29,57489.92,412873058.87,DASH,120710.95
7436.65,7636.54,2018-02-26,7413.21,7176.98,59021.59,438922907.27,DASH,124498.91
7245.06,7601.71,2018-02-27,7192.13,7436.65,80859.31,585830552.51,DASH,129599.99
7153.54,7299.24,2018-02-28,7024.3,7245.06,83434.67,596853249.23,DASH,133231.98
7405.2,7473.32,2018-03-01,7274.21,7154.8,78505.6,581349669.12,DASH,131888.98
7240.6,7504.69,2018-03-02,7182.21,7407.82,75519.64,546807505.38,DASH,134512.95
7260.19,7456.6,2018-03-03,7157.9,7240.6,81086.94,588706590.92,DASH,137299.92
7440.94,7649.32,2018-03-04,7333.3,7267.01,83332.56,620072579.01,DASH,137999.6
7369.36,7505.19,2018-03-05,7244.62,7440.94,84380.5,621830281.48,DASH,139898.93
7021.44,7051.37,2018-03-06,6838,7369.36,93599.09,657200394.49,DASH,138899.96
6432.1,6742.79,2018-03-07,6399.66,7021.44,101754.14,654492803.89,DASH,133999.98
6174.09,6191.64,2018-03-08,5983.38,6432.1,96602.94,596435245.82,DASH,127486.98
6177.69,6192.64,2018-03-09,5879.85,6175.26,117659.18,726861939.69,DASH,117149.93
6102.9,6322.84,2018-03-10,5944.05,6177.69,77839.3,475045463.97,DASH,122252.97
6588.17,6774.64,2018-03-11,6457.52,6101.78,82854.47,545859333.62,DASH,119999.96
6243.14,6414.84,2018-03-12,6205.36,6589.36,75013.12,468317410,DASH,122503.95
6025.38,6220.7,2018-03-13,5970.88,6241.99,74684.42,450002010.58,DASH,117776.85
5222.55,5530.12,2018-03-14,5166.9,6025.44,97955.52,511577600.98,DASH,115579.92
5180.81,5377.98,2018-03-15,5134.6,5220.53,101179.47,524191609.97,DASH,105389.97
5261.38,5268.56,2018-03-16,5092.09,5180.81,116559.06,613261507.1,DASH,106884.95
4806.33,5076.22,2018-03-17,4754.5,5262.71,118869.37,571325419.11,DASH,103449.94
4919.81,5047.66,2018-03-18,4705.02,4805.35,145741.26,717019308.36,DASH,103502.97
5012.7,5052.6,2018-03-19,4718.7,4897.65,138026.11,691883481.6,DASH,107500.97
5357.09,5580.07,2018-03-20,5238.92,5014.8,123389.88,661010692.25,DASH,111985
5309.39,5395.5,2018-03-21,5189.49,5355.98,113604.47,603170436.97,DASH,113900
4995.14,5165.82,2018-03-22,4905.03,5310.48,117428.63,586572446.86,DASH,111989.95
5221.8,5273.48,2018-03-23,5047.38,4995.14,111919.26,584419991.87,DASH,107665.91
5164.17,5445.81,2018-03-24,5091.65,5228.26,106235.61,548618750.09,DASH,109888.89
5016.32,5103.06,2018-03-25,5003.93,5166.27,109526.15,549418216.77,DASH,105698.8
4794.57,4906.11,2018-03-26,4718.19,5016.32,118440.13,567869494.09,DASH,103999.94
4380.51,4625.16,2018-03-27,4369.87,4794.61,114098.04,499807605.2,DASH,100499.93
4256.35,4389.51,2018-03-28,4248.63,4381.48,129962.62,553166397.64,DASH,99714.95
4047.02,4156.47,2018-03-29,3751.95,4256.35,165536.43,669929242.94,DASH,97477.89
3790.12,3978.53,2018-03-30,3781.74,4047.9,116751.36,442501664.56,DASH,90600.98
3754.05,3958.77,2018-03-31,3719.93,3790.12,112716.49,423143339.28,DASH,87999.95
